id,slug,text,perimeter,group_id,group_name
221-direction-regionale-de-lenvironnement-de-lamenagem,direction-regionale-de-lenvironnement-de-lamenagem,"Direction régionale de l’environnement, de l’aménagement et du logement (DREAL) — Île-de-France",Île-de-France,30.0,"Directions régionales de l’environnement, de l’aménagement et du logement (DEAL / DREAL / DRIEAT)"
222-direction-regionale-des-finances-publiques-drfip-i,direction-regionale-des-finances-publiques-drfip-i,Direction régionale des Finances publiques (DRFiP) — Île-de-France,,,
223-region-academique-ile-de-france,region-academique-ile-de-france,Région académique — Île-de-France,Île-de-France,95.0,Ministère de l'Éducation nationale et de la Jeunesse
224-direction-regionale-de-la-jeunesse-des-sports-et-d,direction-regionale-de-la-jeunesse-des-sports-et-d,"Direction régionale de la Jeunesse, des Sports et de la Cohésion sociale (DRJSCS) — Île-de-France",,,
225-delegation-regionale-a-la-recherche-et-a-la-techno,delegation-regionale-a-la-recherche-et-a-la-techno,Délégation régionale à la recherche et à la technologie (DRRT) — Île-de-France,,,
226-agence-regionale-de-sante-ars-ile-de-france,agence-regionale-de-sante-ars-ile-de-france,Agence régionale de santé (ARS) — Île-de-France,Île-de-France,16.0,Agence régionale de santé (ARS)
227-ademe-direction-regionale-centre-val-de-loire,ademe-direction-regionale-centre-val-de-loire,Ademe — Direction régionale — Centre-Val de Loire,,12.0,ADEME - Direction régionale
228-banque-des-territoires-direction-regionale-centre-,banque-des-territoires-direction-regionale-centre-,Banque des Territoires — Direction régionale — Centre-Val de Loire,,,
229-prefecture-de-region-centre-val-de-loire,prefecture-de-region-centre-val-de-loire,Préfecture de région — Centre-Val de Loire,Centre-Val de Loire,39.0,Préfecture de région
230-direction-regionale-de-lalimentation-de-lagricultu,direction-regionale-de-lalimentation-de-lagricultu,"Direction régionale de l'Alimentation, de l'Agriculture et de la Forêt (DRAAF) — Centre-Val de Loire",,,
231-direction-regionale-des-affaires-culturelles-drac-,direction-regionale-des-affaires-culturelles-drac-,Direction régionale des Affaires culturelles (DRAC) — Centre-Val de Loire,Centre-Val de Loire,32.0,Direction régionale des Affaires culturelles (DRAC)
232-direction-regionale-de-leconomie-de-lemploi-du-tra,direction-regionale-de-leconomie-de-lemploi-du-tra,"Direction régionale de l’Economie, de l’Emploi, du Travail et des Solidarités (DREETS) — Centre-Val de Loire",Centre-Val de Loire,29.0,"Direction régionale de l’Economie, de l’Emploi, du Travail et des Solidarités (DREETS)"
233-direction-regionale-de-lenvironnement-de-lamenagem,direction-regionale-de-lenvironnement-de-lamenagem,"Direction régionale de l’environnement, de l’aménagement et du logement (DREAL) — Centre-Val de Loire",Centre-Val de Loire,30.0,"Directions régionales de l’environnement, de l’aménagement et du logement (DEAL / DREAL / DRIEAT)"
234-direction-regionale-des-finances-publiques-drfip-c,direction-regionale-des-finances-publiques-drfip-c,Direction régionale des Finances publiques (DRFiP) — Centre-Val de Loire,,,
235-region-academique-centre-val-de-loire,region-academique-centre-val-de-loire,Région académique — Centre-Val de Loire,,,
236-direction-regionale-de-la-jeunesse-des-sports-et-d,direction-regionale-de-la-jeunesse-des-sports-et-d,"Direction régionale de la Jeunesse, des Sports et de la Cohésion sociale (DRJSCS) — Centre-Val de Loire",,,
237-delegation-regionale-a-la-recherche-et-a-la-techno,delegation-regionale-a-la-recherche-et-a-la-techno,Délégation régionale à la recherche et à la technologie (DRRT) — Centre-Val de Loire,,,
238-agence-regionale-de-sante-ars-centre-val-de-loire,agence-regionale-de-sante-ars-centre-val-de-loire,Agence régionale de santé (ARS) — Centre-Val de Loire,,,
239-ademe-direction-regionale-bourgogne-franche-comte,ademe-direction-regionale-bourgogne-franche-comte,Ademe — Direction régionale — Bourgogne-Franche-Comté,Bourgogne-Franche-Comté,12.0,ADEME - Direction régionale
240-banque-des-territoires-direction-regionale-bourgog,banque-des-territoires-direction-regionale-bourgog,Banque des Territoires — Direction régionale — Bourgogne-Franche-Comté,,,
241-prefecture-de-region-bourgogne-franche-comte,prefecture-de-region-bourgogne-franche-comte,Préfecture de région — Bourgogne-Franche-Comté,Bourgogne-Franche-Comté,39.0,Préfecture de région
242-direction-regionale-de-lalimentation-de-lagricultu,direction-regionale-de-lalimentation-de-lagricultu,"Direction régionale de l'Alimentation, de l'Agriculture et de la Forêt (DRAAF) — Bourgogne-Franche-Comté",,28.0,"Direction régionale de l'Alimentation, de l'Agriculture et de la Forêt (DRAAF)"
243-direction-regionale-des-affaires-culturelles-drac-,direction-regionale-des-affaires-culturelles-drac-,Direction régionale des Affaires culturelles (DRAC) — Bourgogne-Franche-Comté,Bourgogne-Franche-Comté,32.0,Direction régionale des Affaires culturelles (DRAC)
244-direction-regionale-leconomie-de-lemploi-du-travai,direction-regionale-leconomie-de-lemploi-du-travai,"Direction régionale l’Economie, de l’Emploi, du Travail et des Solidarités (DREETS) — Bourgogne-Franche-Comté",,29.0,"Direction régionale de l’Economie, de l’Emploi, du Travail et des Solidarités (DREETS)"
245-direction-regionale-de-lenvironnement-de-lamenagem,direction-regionale-de-lenvironnement-de-lamenagem,"Direction régionale de l’environnement, de l’aménagement et du logement (DREAL) — Bourgogne-Franche-Comté",Bourgogne-Franche-Comté,30.0,"Directions régionales de l’environnement, de l’aménagement et du logement (DEAL / DREAL / DRIEAT)"
246-direction-regionale-des-finances-publiques-drfip-b,direction-regionale-des-finances-publiques-drfip-b,Direction régionale des Finances publiques (DRFiP) — Bourgogne-Franche-Comté,,,
247-region-academique-bourgogne-franche-comte,region-academique-bourgogne-franche-comte,Région académique — Bourgogne-Franche-Comté,,,
248-direction-regionale-de-la-jeunesse-des-sports-et-d,direction-regionale-de-la-jeunesse-des-sports-et-d,"Direction régionale de la Jeunesse, des Sports et de la Cohésion sociale (DRJSCS) — Bourgogne-Franche-Comté",Bourgogne-Franche-Comté,31.0,"Direction régionale de la Jeunesse, des Sports et de la Cohésion sociale (DRJSCS)"
249-delegation-regionale-a-la-recherche-et-a-la-techno,delegation-regionale-a-la-recherche-et-a-la-techno,Délégation régionale à la recherche et à la technologie (DRRT) — Bourgogne-Franche-Comté,,,
250-agence-regionale-de-sante-ars-bourgogne-franche-co,agence-regionale-de-sante-ars-bourgogne-franche-co,Agence régionale de santé (ARS) — Bourgogne-Franche-Comté,Bourgogne-Franche-Comté,16.0,Agence régionale de santé (ARS)
251-ademe-direction-regionale-normandie,ademe-direction-regionale-normandie,Ademe — Direction régionale — Normandie,Normandie,12.0,ADEME - Direction régionale
252-banque-des-territoires-direction-regionale-normand,banque-des-territoires-direction-regionale-normand,Banque des Territoires — Direction régionale — Normandie,Normandie,119.0,Banque des territoires (BdT) - régionale
253-prefecture-de-region-normandie,prefecture-de-region-normandie,Préfecture de région — Normandie,Normandie,39.0,Préfecture de région
254-direction-regionale-de-lalimentation-de-lagricultu,direction-regionale-de-lalimentation-de-lagricultu,"Direction régionale de l'Alimentation, de l'Agriculture et de la Forêt (DRAAF) — Normandie",Normandie,28.0,"Direction régionale de l'Alimentation, de l'Agriculture et de la Forêt (DRAAF)"
255-direction-regionale-des-affaires-culturelles-drac-,direction-regionale-des-affaires-culturelles-drac-,Direction régionale des Affaires culturelles (DRAC) — Normandie,Normandie,32.0,Direction régionale des Affaires culturelles (DRAC)
256-direction-regionale-de-leconomie-de-lemploi-du-tra,direction-regionale-de-leconomie-de-lemploi-du-tra,"Direction régionale de l’Economie, de l’Emploi, du Travail et des Solidarités (DREETS) — Normandie",Normandie,29.0,"Direction régionale de l’Economie, de l’Emploi, du Travail et des Solidarités (DREETS)"
257-direction-regionale-de-lenvironnement-de-lamenagem,direction-regionale-de-lenvironnement-de-lamenagem,"Direction régionale de l’environnement, de l’aménagement et du logement (DREAL) — Normandie",Normandie,30.0,"Directions régionales de l’environnement, de l’aménagement et du logement (DEAL / DREAL / DRIEAT)"
258-direction-regionale-des-finances-publiques-drfip-n,direction-regionale-des-finances-publiques-drfip-n,Direction régionale des Finances publiques (DRFiP) — Normandie,,,
259-region-academique-normandie,region-academique-normandie,Région académique — Normandie,,,
260-direction-regionale-de-la-jeunesse-des-sports-et-d,direction-regionale-de-la-jeunesse-des-sports-et-d,"Direction régionale de la Jeunesse, des Sports et de la Cohésion sociale (DRJSCS) — Normandie",,,
261-delegation-regionale-a-la-recherche-et-a-la-techno,delegation-regionale-a-la-recherche-et-a-la-techno,Délégation régionale à la recherche et à la technologie (DRRT) — Normandie,,,
262-agence-regionale-de-sante-ars-normandie,agence-regionale-de-sante-ars-normandie,Agence régionale de santé (ARS) — Normandie,Normandie,16.0,Agence régionale de santé (ARS)
264-banque-des-territoires-direction-regionale-hauts-d,banque-des-territoires-direction-regionale-hauts-d,Banque des Territoires — Direction régionale — Hauts-de-France,Hauts-de-France,,
265-prefecture-de-region-hauts-de-france,prefecture-de-region-hauts-de-france,Préfecture de région — Hauts-de-France,Hauts-de-France,39.0,Préfecture de région
